id,name,type,x,y,color,price
46,INOX Brookefield,cinema,12.967000,77.715599,#9b59b6,
62,AB's Barbecue,restaurant,12.970100,77.637001,#f39c12,premium
51,Toit Indiranagar,restaurant,12.971900,77.641197,#f39c12,premium
64,Windmills Craftworks,restaurant,12.972600,77.729401,#f39c12,premium
83,Sir M Visvesvaraya Metro,metro,12.973000,77.593002,#34495e,
87,Magadi Road Metro,metro,12.975000,77.544403,#34495e,
25,Sankey Tank,park,12.989900,77.561501,#27ae60,
95,Nadaprabhu Kempegowda Station,metro,12.976600,77.571297,#34495e,
7,Sankey Tank Viewpoint,park,12.991000,77.563797,#27ae60,
70,Rajajinagar Metro,metro,12.991800,77.554604,#34495e,
56,CTR Malleshwaram,restaurant,13.003700,77.564301,#f39c12,budget
68,Majestic Metro,metro,12.976700,77.571297,#34495e,
82,Cubbon Park Metro,metro,12.976600,77.593300,#34495e,
2,Cubbon Park West,park,12.974500,77.593697,#27ae60,
84,Vidhana Soudha Metro,metro,12.979500,77.590698,#34495e,
20,Freedom Park Amphitheatre,cinema,12.983700,77.585403,#9b59b6,
31,Freedom Park,park,12.983300,77.586502,#27ae60,
18,Chowdiah Memorial Hall,cinema,13.006600,77.579498,#9b59b6,
43,Cinepolis ETA Mall,cinema,13.021400,77.518600,#9b59b6,
74,Peenya Metro,metro,13.032400,77.525803,#34495e,
88,Sandal Soap Factory Metro,metro,13.007500,77.540802,#34495e,
89,Dasarahalli Metro,metro,13.041200,77.512497,#34495e,
28,Hesaraghatta Lake,park,13.139100,77.478203,#27ae60,
73,Nagasandra Metro,metro,13.045200,77.500397,#34495e,
100,Jalahalli Metro,metro,13.035300,77.544197,#34495e,
69,Yeshwantpur Metro,metro,13.021600,77.554398,#34495e,
36,PVR Orion Mall,cinema,13.010700,77.554703,#9b59b6,
26,JP Park,park,13.031600,77.560997,#27ae60,
8,JP Park Amphitheatre,park,13.032800,77.563103,#27ae60,
32,Lumbini Gardens,park,13.060300,77.586998,#27ae60,
34,Yelahanka Lake,park,13.100700,77.596298,#27ae60,
66,MG Road Metro,metro,12.975800,77.603302,#34495e,
57,Empire Restaurant,restaurant,12.975600,77.604401,#f39c12,mid
13,Church Street,mall,12.975700,77.605103,#3498db,
19,Alliance Francaise,cinema,12.975900,77.599899,#9b59b6,
21,Cubbon Park,park,12.976200,77.599297,#27ae60,
1,Cubbon Park East,park,12.976900,77.600601,#27ae60,
12,Brigade Road,mall,12.974100,77.607201,#3498db,
55,The Only Place,restaurant,12.973300,77.611702,#f39c12,mid
41,INOX Central Mall,cinema,12.973800,77.620499,#9b59b6,
81,Trinity Metro,metro,12.974900,77.619598,#34495e,
11,Commercial Street,mall,12.975400,77.608002,#3498db,
80,Halasuru Metro,metro,12.977600,77.618599,#34495e,
67,Indiranagar Metro,metro,12.978400,77.638702,#34495e,
6,Ulsoor Lake West,park,12.979200,77.604401,#27ae60,
24,Ulsoor Lake,park,12.981300,77.608101,#27ae60,
5,Ulsoor Lake East,park,12.982400,77.610802,#27ae60,
47,PVR VR Mall,cinema,13.053600,77.604401,#9b59b6,
77,Baiyappanahalli Metro,metro,12.990200,77.652199,#34495e,
45,Gopalan Cinemas,cinema,12.998200,77.701599,#9b59b6,
79,Garudacharpalya Metro,metro,12.985100,77.712502,#34495e,
17,Jagriti Theatre,cinema,12.994700,77.757103,#9b59b6,
39,Cinepolis Whitefield,cinema,12.995000,77.748596,#9b59b6,
61,Byg Brewski,restaurant,12.995500,77.705597,#f39c12,premium
78,Whitefield Kadugodi Metro,metro,12.996400,77.759697,#34495e,
1770549875,ash,park,12.945174,77.614136,#27ae60,
